"$ref"
"($^)|(^[0-9*#]$)"
"\/^[0-9]{12}[0-9X]$\/"
"\/^[0-9]{13}$\/"
"\/^[0-9]{15}$\/"
"\/^[0-9]{18}$\/"
"\/^[0-9]{4}$\/"
"\/^[0-9]{4}-[0-9]{2}-[0-9]{2}$\/"
"\/^[0-9]{9}[0-9X]$\/"
"\/^[A-Z0-9]{10}$\/"
"^$[a-zA-Z0-9$_]*$"
"^([ARNDCQEGHILKMFPSTWYV]{2})($|(,\\1))*"
"^(\\\/?((\\.{2})|([a-z0-9\\-]*))($|\\\/))*$"
"^(\\\/?((\\.{2})|([a-z0-9][a-z0-9\\-.]*[a-z0-9]+)|([a-z0-9]*))($|\\\/))+$"
"^(\\\/?((\\.{2})|([a-z0-9][a-z0-9\\-]*[a-z0-9]+)|([a-z0-9]*))($|\\\/))*$"
"^(http|https)\\:\/\/([a-zA-Z0-9\\.\\-]+(\\:[a-zA-Z0-9\\.&amp;%\\$\\-]+)?@)?([a-zA-Z0-9\\-]+\\.)*([a-zA-Z]{2,})(\\:[0-9]+)?(\/($|[a-zA-Z0-9\\.\\,\\?\\'\\\\\\+&amp;%\\$#\\=~_\\-]+))*$"
"^*$"
"^+('d{2})-(d{10})$"
"^.${0,100}"
"^tape\\d+(\\.side[A-Z](\\.part\\d+){0,1}){0,1}$(\\.alt\\d+){0,1}"
"~properties~paths~patternProperties~^\/~properties~get~properties~parameters~items~oneOf~0~oneOf~0~properties~schema~properties~pattern"
